model_name,group,feature_block,mechanism_consistent,best_params,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,mcc,log_loss,brier,tn,fp,fn,tp,threshold
early__lr__l2,single_stage_early_mild,early,False,"{""clf__C"": 0.03, ""clf__class_weight"": ""balanced""}",0.704225352112676,0.7043650793650793,0.7142857142857143,0.6944444444444444,0.6944444444444444,0.704225352112676,0.7595238095238095,0.7182570057556391,0.4087301587301587,0.5865226484084103,0.2007752197471306,25,11,10,25,0.5
middle_late__svc__sigmoid,two_stage_raw,middle_late,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.6901408450704225,0.6924603174603174,0.8571428571428571,0.5277777777777778,0.6382978723404256,0.7317073170731707,0.7682539682539682,0.7486859055922165,0.406819644741952,0.8081420231463967,0.2272287050524305,19,17,5,30,0.5
middle_late_scale__lr__l1,sequential_scale,middle_late_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.6901408450704225,0.692063492063492,0.8285714285714286,0.5555555555555556,0.6444444444444445,0.725,0.7904761904761904,0.7525222389052336,0.3986274102933033,0.8534062965476962,0.2203436435139102,20,16,6,29,0.5
middle_late_scale__lr__elasticnet,sequential_scale,middle_late_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.5}",0.6901408450704225,0.6916666666666667,0.8,0.5833333333333334,0.6511627906976745,0.717948717948718,0.8095238095238095,0.8103605914985633,0.3921467451955223,0.7317770052855537,0.2110013551864252,21,15,7,28,0.5
early__lr__elasticnet,single_stage_early_mild,early,False,"{""clf__C"": 0.03, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.25}",0.6901408450704225,0.6908730158730159,0.7428571428571429,0.6388888888888888,0.6666666666666666,0.7027027027027027,0.734920634920635,0.6728821272185791,0.3835769584695919,0.6050117593751096,0.2073125151511024,23,13,9,26,0.5
early_late__lr__elasticnet,two_stage_raw,early_late,False,"{""clf__C"": 0.03, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.25}",0.6901408450704225,0.6908730158730159,0.7428571428571429,0.6388888888888888,0.6666666666666666,0.7027027027027027,0.734920634920635,0.6728821272185791,0.3835769584695919,0.6050120991386657,0.2073126382075068,23,13,9,26,0.5
sequential_interactions__lr__l2,sequential_scale,sequential_interactions,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.6901408450704225,0.6900793650793651,0.6857142857142857,0.6944444444444444,0.6857142857142857,0.6857142857142857,0.7642857142857142,0.7000706301434619,0.3801587301587301,0.7312352782150563,0.2068552173897738,25,11,11,24,0.5
stage_score_early_late__lr__l2,stage_score_interaction,all,True,"{""base_C"": 0.03, ""class_weight"": ""balanced"", ""meta_C"": 0.1}",0.6901408450704225,0.6900793650793651,0.6857142857142857,0.6944444444444444,0.6857142857142857,0.6857142857142857,0.7492063492063492,0.701328860352589,0.3801587301587301,0.5922674127235292,0.2028219267037306,25,11,11,24,0.5
early__lr__l1,single_stage_early_mild,early,False,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.6901408450704225,0.6900793650793651,0.6857142857142857,0.6944444444444444,0.6857142857142857,0.6857142857142857,0.7476190476190476,0.7361479641172438,0.3801587301587301,0.6431750698790781,0.2171004051555293,25,11,11,24,0.5
middle__svc__linear,single_stage_middle_moderate,middle,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.676056338028169,0.6785714285714286,0.8571428571428571,0.5,0.625,0.7228915662650602,0.8,0.815450132067427,0.3815423097920998,0.7536667173617356,0.2245120093522899,18,18,5,30,0.5
