model_name,severity_group,n,accuracy,mean_p_ad,false_positive,false_negative
middle__lr__l1,control,36,0.5277777777777778,0.46176456208886774,17,0
middle__lr__l1,early,6,0.8333333333333334,0.7908654309856912,0,1
middle__lr__l1,late,7,0.8571428571428571,0.8940469489280236,0,1
middle__lr__l1,middle,14,0.7142857142857143,0.7633803497553632,0,4
middle__lr__l2,AD_high_MMSE,8,0.75,0.7870040348784316,0,2
middle__lr__l2,control,36,0.6666666666666666,0.3952265624739358,12,0
middle__lr__l2,early,6,0.8333333333333334,0.7892699215520705,0,1
middle__lr__l2,late,7,0.8571428571428571,0.8765936114977926,0,1
middle__lr__l2,middle,14,0.8571428571428571,0.751922482091628,0,2
middle__svc__linear,AD_high_MMSE,8,0.875,0.8742066221232576,0,1
middle__svc__linear,control,36,0.5,0.48241368225876424,18,0
middle__svc__linear,early,6,0.8333333333333334,0.7986655703140002,0,1
middle__svc__linear,late,7,0.8571428571428571,0.8992427241931443,0,1
middle__svc__linear,middle,14,0.8571428571428571,0.762729989857533,0,2
middle__svc__poly2,AD_high_MMSE,8,1.0,0.8357287534156081,0,0
middle__svc__poly2,control,36,0.6111111111111112,0.43127183282923465,14,0
middle__svc__poly2,early,6,0.8333333333333334,0.7796577833175252,0,1
middle__svc__poly2,late,7,0.8571428571428571,0.9105017442225805,0,1
middle__svc__poly2,middle,14,0.9285714285714286,0.8081988449719384,0,1
middle__svc__poly3,AD_high_MMSE,8,0.875,0.8093784491940587,0,1
middle__svc__poly3,control,36,0.7222222222222222,0.4020173742082809,10,0
middle__svc__poly3,early,6,0.8333333333333334,0.7375124755066859,0,1
middle__svc__poly3,late,7,0.8571428571428571,0.9061441475113259,0,1
middle__svc__poly3,middle,14,0.9285714285714286,0.8162114813420532,0,1
middle__svc__rbf,AD_high_MMSE,8,0.875,0.7795023676477422,0,1
middle__svc__rbf,control,36,0.6944444444444444,0.4067908852821929,11,0
middle__svc__rbf,early,6,0.8333333333333334,0.7208901209310666,0,1
middle__svc__rbf,late,7,1.0,0.9168275631236718,0,0
middle__svc__rbf,middle,14,0.8571428571428571,0.7721475284443942,0,2
middle__svc__sigmoid,AD_high_MMSE,8,0.875,0.8093825233732286,0,1
middle__svc__sigmoid,control,36,0.5277777777777778,0.47911155248179504,17,0
middle__svc__sigmoid,early,6,0.8333333333333334,0.8043774936594441,0,1
middle__svc__sigmoid,late,7,0.8571428571428571,0.8788110507837807,0,1
middle__svc__sigmoid,middle,14,0.9285714285714286,0.7418093660768604,0,1
middle_late__lr__elasticnet,AD_high_MMSE,8,0.75,0.7693025366752736,0,2
middle_late__lr__elasticnet,control,36,0.5555555555555556,0.42798486188111196,16,0
middle_late__lr__elasticnet,early,6,0.8333333333333334,0.7963916034958559,0,1
middle_late__lr__elasticnet,late,7,0.8571428571428571,0.9156515181588107,0,1
middle_late__lr__elasticnet,middle,14,0.7857142857142857,0.7632994166860839,0,3
middle_late__lr__l1,AD_high_MMSE,8,0.75,0.8371308364414376,0,2
middle_late__lr__l1,control,36,0.5555555555555556,0.4617324465152017,16,0
middle_late__lr__l1,early,6,0.8333333333333334,0.8007830515728328,0,1
middle_late__lr__l1,late,7,0.8571428571428571,0.9003983751652351,0,1
middle_late__lr__l1,middle,14,0.7857142857142857,0.7630937079841867,0,3
middle_late__lr__l2,AD_high_MMSE,8,0.75,0.7801694759644924,0,2
middle_late__lr__l2,control,36,0.6944444444444444,0.3705177305479781,11,0
middle_late__lr__l2,early,6,0.8333333333333334,0.8196915328502173,0,1
middle_late__lr__l2,late,7,0.8571428571428571,0.8742962492704291,0,1
middle_late__lr__l2,middle,14,0.8571428571428571,0.7710583269692541,0,2
middle_late__svc__linear,AD_high_MMSE,8,0.875,0.8513641744784907,0,1
middle_late__svc__linear,control,36,0.5555555555555556,0.4596633634799324,16,0
middle_late__svc__linear,early,6,0.8333333333333334,0.7975920759798586,0,1
middle_late__svc__linear,late,7,0.8571428571428571,0.8917010125871722,0,1
middle_late__svc__linear,middle,14,0.9285714285714286,0.7606117909003515,0,1
middle_late__svc__poly2,AD_high_MMSE,8,0.875,0.8089029736677733,0,1
middle_late__svc__poly2,control,36,0.6944444444444444,0.4069477939822578,11,0
middle_late__svc__poly2,early,6,0.8333333333333334,0.7867356430633422,0,1
middle_late__svc__poly2,late,7,0.8571428571428571,0.8970272557583175,0,1
middle_late__svc__poly2,middle,14,0.8571428571428571,0.8012436234019246,0,2
middle_late__svc__poly3,AD_high_MMSE,8,0.875,0.78863074423045,0,1
middle_late__svc__poly3,control,36,0.6666666666666666,0.3888051341874942,12,0
middle_late__svc__poly3,early,6,0.8333333333333334,0.7420680285470573,0,1
middle_late__svc__poly3,late,7,0.8571428571428571,0.9045229685699393,0,1
middle_late__svc__poly3,middle,14,0.9285714285714286,0.812834760654641,0,1
middle_late__svc__rbf,AD_high_MMSE,8,0.875,0.7708752394486548,0,1
