model_name,group,feature_block,mechanism_consistent,best_cv_score_grid,best_params,fit_seconds,cv_accuracy,cv_balanced_accuracy,cv_sensitivity,cv_specificity,cv_precision,cv_f1,cv_roc_auc,cv_pr_auc,cv_mcc,cv_log_loss,cv_brier,cv_tn,cv_fp,cv_fn,cv_tp,cv_threshold,cv_repeated_oof_available
middle__lr__l1,single_stage_middle_moderate,middle,False,0.8680147058823529,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}",0.8285617828369141,0.8674698795180723,0.8712352684417285,0.7931034482758621,0.9493670886075949,0.9452054794520548,0.8625,0.9356903826567728,0.9491446692156058,0.7470496937374939,0.3997081441875126,0.12081028030072695,75,4,18,69,0.5,True
middle_late__lr__l1,two_stage_raw,middle_late,False,0.8680147058823529,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}",1.334951400756836,0.8674698795180723,0.8712352684417285,0.7931034482758621,0.9493670886075949,0.9452054794520548,0.8625,0.9365633638876765,0.9499028227860822,0.7470496937374939,0.39946612161106,0.12069555814760276,75,4,18,69,0.5,True
middle__svc__poly3,single_stage_middle_moderate,middle,False,0.8683823529411765,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",3.027252435684204,0.8674698795180723,0.8671613560308453,0.8735632183908046,0.8607594936708861,0.8735632183908046,0.8735632183908046,0.9514040448130365,0.9578152518957621,0.7343227120616906,0.2830751107311818,0.09040766945747192,68,11,11,76,0.5,True
middle__svc__sigmoid,single_stage_middle_moderate,middle,False,0.8805147058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",2.6848697662353516,0.8674698795180723,0.8671613560308453,0.8735632183908046,0.8607594936708861,0.8735632183908046,0.8735632183908046,0.9413647606576458,0.9487584086779608,0.7343227120616906,0.30978041726805333,0.09772420330100892,68,11,11,76,0.5,True
middle_late__svc__poly3,two_stage_raw,middle_late,False,0.8742647058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",1.761763095855713,0.8674698795180723,0.8671613560308453,0.8735632183908046,0.8607594936708861,0.8735632183908046,0.8735632183908046,0.9516950385566709,0.957854414056332,0.7343227120616906,0.2833171401469025,0.09039548396157324,68,11,11,76,0.5,True
sequential_interactions__lr__l1,sequential_scale,sequential_interactions,False,0.8683823529411765,"{""clf__C"": 0.1, ""clf__class_weight"": null}",1.5282924175262451,0.8674698795180723,0.8671613560308453,0.8735632183908046,0.8607594936708861,0.8735632183908046,0.8735632183908046,0.9404917794267423,0.9546381884263638,0.7343227120616906,0.38034473289723536,0.11388573205448232,68,11,11,76,0.5,True
all_plus_interactions__svc__poly3,three_stage_full_interaction,all_plus_interactions,False,0.8735294117647058,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",3.79184627532959,0.8674698795180723,0.8671613560308453,0.8735632183908046,0.8607594936708861,0.8735632183908046,0.8735632183908046,0.9519132838643969,0.9576062631441302,0.7343227120616906,0.2780881968669724,0.08898504703330386,68,11,11,76,0.5,True
middle_late_scale__svc__sigmoid,sequential_scale,middle_late_scale,False,0.8680147058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",5.322476863861084,0.8674698795180723,0.8665793685435763,0.8850574712643678,0.8481012658227848,0.8651685393258427,0.875,0.9406372762985596,0.9476925668944568,0.7342277938478918,0.3117061572166092,0.09883449948228609,67,12,10,77,0.5,True
middle_late_scale__lr__l1,sequential_scale,middle_late_scale,False,0.8621323529411764,"{""clf__C"": 1.0, ""clf__class_weight"": null}",2.2545812129974365,0.8614457831325302,0.8625782045686017,0.8390804597701149,0.8860759493670886,0.8902439024390244,0.863905325443787,0.9295795140404483,0.9433901640000957,0.7243663921152793,0.3689390177080834,0.10552878296325664,70,9,14,73,0.5,True
sequential_interactions__svc__poly3,sequential_scale,sequential_interactions,False,0.8680147058823529,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",2.0176610946655273,0.8614457831325302,0.8619962170813327,0.8505747126436781,0.8734177215189873,0.8809523809523809,0.8654970760233918,0.9423832387603666,0.9463411313277739,0.7232036852258487,0.3045684397547812,0.09663359374953567,69,10,13,74,0.5,True
middle_late_scale__svc__rbf,sequential_scale,middle_late_scale,False,0.8621323529411764,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",6.959723711013794,0.8614457831325302,0.8614142295940637,0.8620689655172413,0.8607594936708861,0.872093023255814,0.8670520231213873,0.9339444201949659,0.941902266747135,0.7224606476414455,0.32297064534763026,0.10381766266172315,68,11,12,75,0.5,True
early_middle__svc__poly3,two_stage_raw,early_middle,False,0.8797794117647058,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",3.4884402751922607,0.8614457831325302,0.8608322421067947,0.8735632183908046,0.8481012658227848,0.8636363636363636,0.8685714285714285,0.9580969009166304,0.9625722324643358,0.7221374484265971,0.26537478953328625,0.08415536796615967,67,12,11,76,0.5,True
